Ticker,Market Cap,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Short Float,Short Ratio,Avg Volume,Price,Change %,Volume,datetime
BBMO,131220000000.0,706200000.0,705760000.0,0.0006,0.0,0.4953,-0.0189,1.04%,9.82,743790.0,185.81,0.90%,481583.0,2026-08-14 22:04:43
BBMY,130389999999.99998,2040000000.0,2040000000.0,0.0032,-0.0046,0.8265,0.0052,2.57%,4.23,12370000.0,63.83,-1.27%,7528352.0,2026-08-14 22:04:43
SSYK,130110000000.00002,383570000.0,360220000.0,0.060899999999999996,-0.013600000000000001,0.8070999999999999,0.0073,2.31%,3.15,2640000.0,339.21,-0.55%,2800622.0,2026-08-14 22:04:43
NNOW,128220000000.0,1030000000.0,1020000000.0,0.0091,-0.0015,0.8529000000000001,-0.0288,3.59%,1.34,27360000.0,124.0,-2.55%,15001977.0,2026-08-14 22:04:43
VVRTX,128190000000.0,253350000.0,252890000.0,0.0022,-0.2255,0.9422,-0.0091,1.56%,2.52,1560000.0,505.75,-2.07%,1130486.0,2026-08-14 22:04:43
CCVS,124260000000.0,1280000000.0,1280000000.0,0.0016,-0.6271,0.8901,-0.0088,1.46%,2.29,8170000.0,97.16,2.28%,9435932.0,2026-08-14 22:04:43
NNEM,124080000000.0,1060000000.0,1050000000.0,0.0013,-0.0643,0.8067,-0.07429999999999999,1.76%,2.28,8119999.999999999,117.76,3.13%,5577492.0,2026-08-14 22:04:43
SSPGI,123460000000.0,294800000.0,294010000.0,0.0027,0.0076,0.8914,-0.0118,3.00%,3.81,2310000.0,418.8,-0.92%,1736924.0,2026-08-14 22:04:43
BBTI,123000000000.0,2170000000.0,2150000000.0,0.0009,0.0,0.1489,-0.0553,0.29%,1.47,4210000.0,57.06,-0.51%,4127950.0,2026-08-14 22:04:43
SSBUX,122770000000.0,1140000000.0,1140000000.0,0.0021,-0.0074,0.8414,0.016200000000000003,3.45%,5.12,7670000.0,107.69,-0.79%,3499091.0,2026-08-14 22:04:43
LLOW,122500000000.0,561000000.0,556940000.0,0.0067,-0.0096,0.7951999999999999,0.0028000000000000004,2.03%,3.7,3060000.0,218.47,0.11%,1736969.0,2026-08-14 22:04:43
PPGR,121860000000.0,581000000.0,579730000.0,0.0028000000000000004,-0.049,0.8811,-0.005600000000000001,1.39%,2.52,3210000.0,209.6,0.35%,2882605.0,2026-08-14 22:04:43
PPDD,120690000000.0,1420000000.0,1390000000.0,0.024,-0.0001,0.265,-0.0288,2.48%,3.97,8680000.0,84.79,0.74%,4725665.0,2026-08-14 22:04:43
RRIO,120040000000.0,1250000000.0,1250000000.0,0.0001,0.0,0.1047,-0.22640000000000002,0.63%,2.93,2700000.0,95.68,-2.57%,2187739.0,2026-08-14 22:04:43
HHDB,120040000000.0,5130000000.0,5130000000.0,0.0011,-0.005600000000000001,0.1235,-0.0953,0.46%,2.58,9130000.0,23.37,1.17%,5400959.0,2026-08-14 22:04:43
FFTNT,117400000000.0,733600000.0,607310000.0,0.1723,-0.0038,0.6789000000000001,-0.013999999999999999,2.37%,2.39,6020000.0,160.01,-3.28%,2860333.0,2026-08-14 22:04:43
MMDT,116830000000.0,1280000000.0,1280000000.0,0.001,-0.0446,0.8523999999999999,0.002,1.42%,1.94,9320000.0,91.27,0.76%,8245177.0,2026-08-14 22:04:43
HHWM,115330000000.0,400000000.0,394410000.0,0.011000000000000001,-0.0197,0.9245,-0.0049,1.75%,2.6,2660000.0,289.18,2.25%,1923042.0,2026-08-14 22:04:43
CCM,114660000000.0,926610000.0,925480000.0,0.0012,0.0,0.5204,-0.0137,1.58%,11.33,1290000.0,123.74,1.09%,637283.0,2026-08-14 22:04:43
SSNOW,114000000000.0,346600000.0,335390000.0,0.0323,-0.20329999999999998,0.7775,-0.0222,5.65%,2.52,7530000.0,328.92,-2.51%,2580516.0,2026-08-14 22:04:43
VVRT,113120000000.0,384940000.0,383620000.0,0.0036,-0.2611,0.8517,0.0407,3.22%,1.96,6290000.0,293.84,2.36%,3155863.0,2026-08-14 22:04:43
BBNS,112830000000.0,1230000000.0,1230000000.0,0.0006,0.0,0.4715,-0.059699999999999996,0.80%,3.74,2640000.0,91.54,0.98%,1018932.0,2026-08-14 22:04:43
